50, 2, 3750, 125, 30
50, 4, 4000, 125, 32
50, 3, 4250, 125, 34
50, 1, 4250, 125, 34
50, 5, 4500, 125, 36
50, 6, 3875, 125, 31
50, 8, 4125, 125, 33
50, 7, 4500, 125, 36
50, 10, 3750, 125, 30
50, 11, 3625, 125, 29
50, 12, 4000, 125, 32
50, 9, 4500, 125, 36
50, 15, 4375, 125, 35
50, 14, 4625, 125, 37
50, 13, 4625, 125, 37
50, 16, 4625, 125, 37
50, 18, 3875, 125, 31
50, 19, 3625, 125, 29
50, 20, 3500, 125, 28
50, 17, 4375, 125, 35
50, 21, 3625, 125, 29
50, 23, 3750, 125, 30
50, 22, 4250, 125, 34
50, 24, 4375, 125, 35
50, 27, 3750, 125, 30
50, 26, 3125, 125, 25
50, 25, 4250, 125, 34
50, 28, 4125, 125, 33
50, 32, 3500, 125, 28
50, 31, 3750, 125, 30
50, 29, 4500, 125, 36
50, 30, 4250, 125, 34
50, 35, 4250, 125, 34
50, 33, 3750, 125, 30
50, 34, 4500, 125, 36
50, 36, 3500, 125, 28
50, 39, 4000, 125, 32
50, 38, 3750, 125, 30
50, 37, 3625, 125, 29
50, 40, 3875, 125, 31
50, 42, 3875, 125, 31
50, 43, 3750, 125, 30
50, 41, 3875, 125, 31
50, 44, 4000, 125, 32
50, 47, 3625, 125, 29
50, 45, 4125, 125, 33
50, 48, 3250, 125, 26
50, 46, 3875, 125, 31
50, 50, 3750, 125, 30
50, 51, 3500, 125, 28
50, 49, 4125, 125, 33
50, 52, 4625, 125, 37
50, 54, 3875, 125, 31
50, 53, 4500, 125, 36
50, 55, 3625, 125, 29
50, 56, 3750, 125, 30
50, 59, 2750, 125, 22
50, 58, 4250, 125, 34
50, 57, 4375, 125, 35
50, 60, 3125, 125, 25
50, 62, 4375, 125, 35
50, 61, 4125, 125, 33
50, 63, 3250, 125, 26
50, 64, 4875, 125, 39
50, 65, 3125, 125, 25
50, 67, 3375, 125, 27
50, 66, 3750, 125, 30
50, 68, 3875, 125, 31
50, 69, 4250, 125, 34
50, 71, 4125, 125, 33
50, 72, 4000, 125, 32
50, 70, 4250, 125, 34
50, 76, 3125, 125, 25
50, 74, 3875, 125, 31
50, 73, 4500, 125, 36
50, 75, 4000, 125, 32
50, 79, 3625, 125, 29
50, 80, 3625, 125, 29
50, 78, 4000, 125, 32
50, 77, 3500, 125, 28
50, 81, 3875, 125, 31
50, 83, 3500, 125, 28
50, 82, 4000, 125, 32
