p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24,p25,p26,p27,p28,p29,p30,p31,p32,p33,p34,p35,p36,p37,p38,p39,p40,p41,p42,p43,p44,p45,p46,p47,p48,p49,p50,p51,p52,p53,p54,p55,p56,p57,p58,p59,p60,p61,p62,p63,p64,p65,p66,p67,p68,p69,p70,p71,p72,p73,p74,p75,p76,p77,p78,p79,p80,p81,p82,p83,p84,p85,p86,p87,p88,p89,p90,p91,p92,p93,p94,p95,p96,p97,p98,p99,p100,BestFitness, CurLevel, BestOM, BestLOS
0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.76,0.76,0.46,0.22,0.58,0.38,0.32,0.64,0.66,0.68,0.42,0.32,0.5,0.4,0.72,0.56,0.56,0.42,0.34,0.56,0.7,0.22,0.46,0.66,0.14,0.64,0.74,0.04,0.78,0.52,0.56,0.38,0.7,0.56,0.64,0.46,0.66,0.24,0.24,0.44,0.36,0.38,0.3,0.5,0.38,0.74,0.56,0.54,0.34,0.6,0.66,0.76,0.76,0.06,0.42,0.44,0.6,0.64,0.3,0.42,0.72,0.72,0.68,0.4,0.54,0.74,0.44,0.54,0.54,0.84,0.26,0.54,0.62,0.5,0.72,0.66,0.16,0.08,0.56,0.76,0.5,0.32,0.42,0.54,0.14,0.66,0.64,0.36,22,13,62,22
0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.26,0.26,0.58,0.36,0.34,0.64,0.7,0.66,0.42,0.42,0.4,0.46,0.64,0.52,0.44,0.34,0.34,0.48,0.7,0.26,0.46,0.6,0.12,0.58,0.74,0.04,0.78,0.56,0.58,0.36,0.6,0.58,0.66,0.44,0.64,0.2,0.24,0.46,0.28,0.42,0.22,0.48,0.34,0.76,0.54,0.56,0.32,0.6,0.66,0.8,0.72,0.08,0.4,0.38,0.56,0.68,0.32,0.3,0.8,0.7,0.64,0.38,0.46,0.76,0.42,0.5,0.46,0.78,0.36,0.6,0.6,0.48,0.76,0.64,0.08,0.04,0.46,0.7,0.38,0.38,0.42,0.56,0.1,0.6,0.58,0.22,22,13,62,22
0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.42,0.42,0.54,0.36,0.38,0.64,0.7,0.68,0.44,0.38,0.38,0.48,0.6,0.5,0.46,0.38,0.36,0.46,0.66,0.24,0.46,0.66,0.12,0.62,0.72,0.06,0.78,0.54,0.64,0.36,0.62,0.54,0.68,0.4,0.68,0.2,0.26,0.46,0.32,0.38,0.2,0.48,0.4,0.8,0.48,0.56,0.32,0.6,0.68,0.8,0.7,0.1,0.38,0.4,0.52,0.74,0.32,0.24,0.78,0.8,0.7,0.4,0.44,0.76,0.46,0.5,0.46,0.8,0.34,0.62,0.58,0.5,0.72,0.68,0.1,0.02,0.46,0.66,0.38,0.36,0.42,0.48,0.14,0.6,0.58,0.26,22,13,62,22
0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.76,0.76,0.52,0.34,0.36,0.6,0.76,0.68,0.4,0.36,0.4,0.52,0.62,0.5,0.42,0.38,0.36,0.46,0.68,0.26,0.48,0.66,0.16,0.68,0.6,0.08,0.82,0.5,0.6,0.38,0.56,0.48,0.6,0.32,0.64,0.16,0.3,0.42,0.32,0.42,0.18,0.5,0.38,0.82,0.56,0.6,0.38,0.58,0.64,0.82,0.74,0.06,0.42,0.34,0.58,0.78,0.3,0.24,0.74,0.76,0.72,0.5,0.4,0.78,0.48,0.46,0.44,0.72,0.3,0.62,0.62,0.6,0.66,0.68,0.12,0.02,0.56,0.58,0.34,0.38,0.54,0.4,0.16,0.64,0.56,0.24,22,15,62,22
0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.4,0.4,0.3,0.68,0.74,0.72,0.42,0.32,0.46,0.44,0.5,0.44,0.44,0.44,0.42,0.44,0.58,0.38,0.52,0.66,0.18,0.7,0.68,0.1,0.82,0.5,0.58,0.52,0.5,0.58,0.6,0.38,0.72,0.22,0.22,0.36,0.24,0.42,0.12,0.48,0.36,0.8,0.48,0.58,0.36,0.56,0.68,0.78,0.76,0.12,0.3,0.32,0.62,0.84,0.36,0.24,0.64,0.72,0.76,0.48,0.36,0.74,0.48,0.44,0.44,0.74,0.28,0.64,0.62,0.62,0.54,0.72,0.12,0.02,0.54,0.66,0.3,0.38,0.58,0.3,0.12,0.62,0.58,0.14,23,15,59,22
0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.88,0.88,0.32,0.64,0.78,0.7,0.38,0.3,0.54,0.42,0.5,0.42,0.5,0.48,0.4,0.44,0.5,0.36,0.54,0.64,0.14,0.68,0.7,0.06,0.84,0.5,0.68,0.54,0.52,0.54,0.64,0.36,0.68,0.2,0.2,0.34,0.16,0.4,0.04,0.38,0.36,0.82,0.56,0.68,0.32,0.56,0.66,0.78,0.78,0.18,0.28,0.36,0.7,0.84,0.34,0.34,0.62,0.86,0.76,0.56,0.36,0.78,0.46,0.38,0.48,0.8,0.24,0.64,0.58,0.66,0.54,0.62,0.06,0.02,0.68,0.7,0.24,0.38,0.54,0.34,0.18,0.7,0.56,0.12,23,17,59,22
0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.62,0.62,0.76,0.7,0.32,0.24,0.48,0.34,0.54,0.34,0.44,0.56,0.4,0.3,0.46,0.32,0.62,0.66,0.12,0.62,0.78,0.02,0.82,0.56,0.72,0.5,0.6,0.58,0.68,0.32,0.62,0.28,0.24,0.36,0.18,0.28,0.02,0.44,0.3,0.84,0.5,0.64,0.38,0.46,0.54,0.8,0.8,0.2,0.3,0.36,0.76,0.92,0.24,0.36,0.64,0.84,0.64,0.64,0.48,0.76,0.52,0.2,0.56,0.9,0.2,0.7,0.52,0.66,0.58,0.62,0.04,0.01,0.64,0.72,0.28,0.34,0.54,0.48,0.16,0.74,0.62,0.12,24,19,63,25
0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.9,0.86,0.38,0.2,0.56,0.34,0.48,0.24,0.44,0.46,0.38,0.28,0.58,0.3,0.68,0.68,0.12,0.54,0.88,0.01,0.8,0.54,0.7,0.52,0.64,0.58,0.6,0.36,0.7,0.34,0.2,0.36,0.18,0.3,0.02,0.52,0.34,0.88,0.54,0.64,0.34,0.5,0.6,0.8,0.76,0.26,0.38,0.34,0.8,0.94,0.3,0.32,0.68,0.9,0.66,0.64,0.6,0.78,0.46,0.22,0.64,0.82,0.18,0.7,0.5,0.7,0.52,0.6,0.02,0.01,0.66,0.6,0.28,0.34,0.48,0.54,0.22,0.64,0.46,0.18,27,21,66,26
0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.12,0.12,0.62,0.4,0.44,0.28,0.44,0.48,0.28,0.34,0.52,0.26,0.62,0.64,0.08,0.48,0.82,0.01,0.78,0.56,0.76,0.6,0.74,0.56,0.66,0.28,0.7,0.26,0.14,0.36,0.16,0.24,0.08,0.46,0.32,0.8,0.62,0.6,0.22,0.46,0.66,0.84,0.68,0.28,0.44,0.3,0.78,0.92,0.34,0.26,0.72,0.88,0.56,0.68,0.78,0.88,0.52,0.22,0.68,0.88,0.22,0.74,0.4,0.7,0.5,0.62,0.06,0.02,0.58,0.62,0.22,0.34,0.44,0.52,0.38,0.58,0.48,0.1,27,21,66,26
0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.14,0.14,0.62,0.4,0.42,0.3,0.44,0.48,0.3,0.34,0.52,0.26,0.62,0.64,0.08,0.46,0.82,0.01,0.78,0.54,0.76,0.6,0.74,0.56,0.66,0.26,0.7,0.26,0.16,0.36,0.16,0.22,0.08,0.48,0.32,0.8,0.6,0.6,0.2,0.46,0.64,0.84,0.68,0.26,0.42,0.3,0.78,0.92,0.32,0.26,0.72,0.88,0.56,0.68,0.76,0.88,0.5,0.24,0.66,0.88,0.22,0.74,0.42,0.7,0.48,0.62,0.06,0.02,0.6,0.62,0.24,0.32,0.42,0.52,0.38,0.58,0.48,0.1,27,21,66,26
