0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,76,-1,-1,0.0
0.56,0.66,0.55,0.55,0.53,0.55,0.59,0.59,0.55,0.53,0.52,0.53,0.57,0.65,0.51,0.49,0.55,0.64,0.66,0.54,0.51,0.54,0.62,0.47,0.64,0.44,0.51,0.58,0.54,0.55,0.58,0.6,0.52,0.58,0.58,0.68,0.54,0.56,0.58,0.57,0.59,0.62,0.56,0.48,0.51,0.54,0.59,0.6,0.66,0.57,0.67,0.54,0.55,0.57,0.48,0.5,0.54,0.51,0.57,0.52,0.51,0.51,0.61,0.53,0.5,0.56,0.5,0.52,0.48,0.63,0.57,0.49,0.52,0.59,0.57,0.51,0.58,0.39,0.59,0.56,0.54,0.55,0.62,0.46,0.51,0.55,0.57,0.57,0.57,0.56,0.58,0.48,0.54,0.56,0.59,0.42,0.57,0.51,0.6,0.64,80,-1,67,37.400000000000006
0.68,0.67,0.59,0.66,0.53,0.6,0.58,0.56,0.62,0.58,0.51,0.57,0.56,0.77,0.53,0.57,0.6,0.68,0.7,0.64,0.58,0.54,0.69,0.6,0.62,0.5,0.55,0.62,0.64,0.62,0.7,0.65,0.58,0.61,0.57,0.7,0.68,0.61,0.62,0.6,0.63,0.68,0.63,0.52,0.55,0.62,0.68,0.62,0.7,0.61,0.75,0.59,0.66,0.63,0.41,0.57,0.52,0.59,0.55,0.63,0.48,0.59,0.64,0.6,0.58,0.63,0.58,0.64,0.51,0.7,0.58,0.53,0.62,0.64,0.58,0.48,0.61,0.44,0.71,0.67,0.58,0.6,0.71,0.5,0.62,0.59,0.7,0.54,0.64,0.66,0.63,0.54,0.56,0.64,0.63,0.57,0.66,0.6,0.64,0.66,85,-1,63,38.33
0.68,0.73,0.7,0.7,0.56,0.71,0.64,0.65,0.76,0.62,0.58,0.65,0.61,0.83,0.55,0.66,0.61,0.65,0.74,0.79,0.66,0.53,0.67,0.68,0.65,0.6,0.62,0.75,0.7,0.64,0.74,0.59,0.61,0.66,0.62,0.72,0.69,0.6,0.79,0.66,0.61,0.74,0.7,0.66,0.64,0.69,0.71,0.63,0.71,0.72,0.8,0.65,0.72,0.58,0.5,0.53,0.53,0.67,0.56,0.72,0.6,0.62,0.62,0.64,0.58,0.72,0.59,0.73,0.65,0.71,0.58,0.57,0.7,0.71,0.58,0.57,0.69,0.46,0.79,0.66,0.68,0.72,0.76,0.53,0.52,0.54,0.78,0.57,0.75,0.73,0.66,0.61,0.61,0.66,0.64,0.65,0.64,0.65,0.72,0.71,89,-1,41,27.21
0.72,0.8,0.7,0.78,0.6,0.71,0.83,0.72,0.8,0.66,0.68,0.74,0.66,0.82,0.66,0.7,0.64,0.73,0.77,0.83,0.72,0.64,0.71,0.74,0.72,0.59,0.71,0.78,0.69,0.73,0.79,0.59,0.59,0.63,0.68,0.8,0.77,0.61,0.78,0.77,0.59,0.85,0.78,0.66,0.73,0.73,0.78,0.67,0.79,0.76,0.9,0.71,0.75,0.65,0.63,0.62,0.54,0.68,0.63,0.76,0.68,0.73,0.66,0.67,0.6,0.88,0.66,0.78,0.68,0.73,0.59,0.69,0.75,0.68,0.64,0.62,0.75,0.55,0.88,0.67,0.73,0.82,0.77,0.59,0.65,0.61,0.84,0.58,0.79,0.77,0.71,0.69,0.61,0.73,0.71,0.7,0.71,0.78,0.82,0.78,93,-1,31,22.37
0.77,0.81,0.73,0.77,0.64,0.74,0.83,0.75,0.8,0.73,0.78,0.69,0.71,0.84,0.72,0.72,0.72,0.74,0.86,0.87,0.79,0.72,0.75,0.81,0.81,0.59,0.75,0.84,0.74,0.76,0.79,0.6,0.69,0.73,0.72,0.82,0.78,0.71,0.85,0.79,0.59,0.89,0.86,0.65,0.79,0.83,0.81,0.74,0.83,0.79,0.9,0.78,0.86,0.6,0.7,0.72,0.59,0.82,0.73,0.82,0.79,0.72,0.79,0.76,0.64,0.91,0.72,0.78,0.73,0.81,0.56,0.76,0.8,0.78,0.71,0.69,0.8,0.66,0.92,0.67,0.76,0.88,0.72,0.63,0.72,0.69,0.88,0.62,0.81,0.8,0.72,0.83,0.69,0.71,0.73,0.79,0.78,0.81,0.88,0.86,98,-1,35,26.31
0.8,0.84,0.82,0.85,0.59,0.75,0.87,0.84,0.81,0.83,0.85,0.76,0.75,0.84,0.73,0.74,0.77,0.82,0.95,0.91,0.86,0.81,0.76,0.88,0.78,0.68,0.81,0.9,0.77,0.83,0.8,0.69,0.75,0.8,0.79,0.84,0.84,0.72,0.81,0.88,0.7,0.92,0.83,0.75,0.84,0.9,0.88,0.72,0.86,0.91,0.92,0.79,0.94,0.7,0.69,0.77,0.65,0.86,0.8,0.79,0.84,0.74,0.84,0.83,0.72,0.97,0.75,0.81,0.77,0.88,0.59,0.88,0.82,0.85,0.75,0.78,0.8,0.68,0.99,0.68,0.82,0.88,0.8,0.65,0.76,0.74,0.9,0.77,0.86,0.82,0.79,0.77,0.66,0.8,0.77,0.89,0.81,0.77,0.96,0.89,100,-1,29,23.369999999999994
0.84,0.85,0.86,0.9,0.72,0.85,0.83,0.87,0.88,0.9,0.9,0.85,0.84,0.9,0.8,0.76,0.82,0.9,0.99,0.94,0.93,0.83,0.85,0.9,0.89,0.76,0.86,0.93,0.81,0.91,0.85,0.72,0.76,0.78,0.79,0.85,0.91,0.77,0.85,0.94,0.81,0.92,0.91,0.79,0.88,0.95,0.9,0.77,0.88,0.91,0.93,0.77,0.95,0.82,0.76,0.81,0.7,0.94,0.88,0.8,0.87,0.87,0.9,0.87,0.74,0.96,0.69,0.86,0.84,0.9,0.64,0.92,0.84,0.9,0.73,0.87,0.82,0.71,0.99,0.76,0.86,0.9,0.84,0.71,0.8,0.77,0.91,0.83,0.85,0.88,0.88,0.79,0.7,0.87,0.85,0.89,0.87,0.81,0.97,0.9,100,-1,18,15.270000000000001
0.83,0.84,0.89,0.9,0.76,0.89,0.85,0.84,0.93,0.9,0.91,0.88,0.94,0.88,0.88,0.83,0.89,0.88,0.99,0.96,0.97,0.82,0.89,0.92,0.89,0.75,0.89,0.94,0.82,0.91,0.83,0.74,0.83,0.85,0.84,0.89,0.93,0.81,0.89,0.95,0.81,0.98,0.95,0.87,0.92,0.98,0.94,0.8,0.91,0.92,0.96,0.73,0.97,0.92,0.83,0.83,0.71,0.96,0.89,0.88,0.91,0.87,0.91,0.92,0.8,0.97,0.73,0.88,0.83,0.92,0.7,0.95,0.87,0.89,0.74,0.91,0.88,0.81,0.99,0.83,0.87,0.93,0.85,0.75,0.87,0.82,0.96,0.87,0.93,0.95,0.92,0.86,0.78,0.88,0.88,0.86,0.85,0.86,0.99,0.86,100,-1,18,15.720000000000002
0.8,0.87,0.89,0.89,0.85,0.91,0.9,0.86,0.92,0.92,0.93,0.92,0.9,0.9,0.9,0.86,0.9,0.93,0.99,0.92,0.97,0.83,0.94,0.95,0.9,0.78,0.89,0.93,0.84,0.92,0.89,0.81,0.86,0.9,0.81,0.85,0.92,0.86,0.86,0.98,0.86,0.99,0.94,0.88,0.9,0.99,0.92,0.77,0.93,0.92,0.96,0.8,0.95,0.91,0.85,0.85,0.73,0.96,0.89,0.9,0.87,0.86,0.93,0.96,0.86,0.99,0.69,0.9,0.92,0.93,0.77,0.9,0.86,0.87,0.8,0.93,0.97,0.82,0.99,0.8,0.87,0.9,0.89,0.81,0.85,0.83,0.93,0.93,0.94,0.94,0.9,0.86,0.81,0.96,0.91,0.92,0.94,0.94,0.99,0.9,100,-1,14,12.46
