p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24,p25,p26,p27,p28,p29,p30,p31,p32,p33,p34,p35,p36,p37,p38,p39,p40,p41,p42,p43,p44,p45,p46,p47,p48,p49,p50,p51,p52,p53,p54,p55,p56,p57,p58,p59,p60,p61,p62,p63,p64,p65,p66,p67,p68,p69,p70,p71,p72,p73,p74,p75,p76,p77,p78,p79,p80,p81,p82,p83,p84,p85,p86,p87,p88,p89,p90,p91,p92,p93,p94,p95,p96,p97,p98,p99,p100,BestFitness, CurLevel, BestOM, BestLOS
0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,56,0,56,1
0.5,0.5,0.51,0.49,0.5,0.5,0.5,0.5,0.5,0.51,0.51,0.5,0.49,0.49,0.49,0.51,0.49,0.49,0.5,0.49,0.51,0.5,0.49,0.51,0.5,0.51,0.5,0.5,0.51,0.5,0.51,0.5,0.49,0.51,0.5,0.5,0.5,0.5,0.5,0.51,0.49,0.5,0.49,0.5,0.51,0.51,0.49,0.5,0.51,0.5,0.5,0.5,0.51,0.49,0.5,0.5,0.51,0.51,0.5,0.49,0.5,0.5,0.5,0.5,0.51,0.5,0.49,0.49,0.51,0.5,0.5,0.49,0.5,0.5,0.5,0.51,0.49,0.51,0.5,0.51,0.5,0.49,0.51,0.51,0.5,0.5,0.5,0.51,0.51,0.51,0.49,0.5,0.5,0.49,0.51,0.51,0.5,0.5,0.5,0.5,56,-1,56,1
0.51,0.5,0.51,0.49,0.5,0.51,0.49,0.5,0.51,0.52,0.52,0.49,0.49,0.48,0.49,0.52,0.48,0.48,0.5,0.48,0.51,0.5,0.48,0.51,0.5,0.51,0.5,0.5,0.51,0.5,0.52,0.49,0.48,0.52,0.5,0.49,0.51,0.49,0.5,0.51,0.48,0.51,0.49,0.5,0.52,0.51,0.48,0.5,0.52,0.51,0.5,0.5,0.52,0.48,0.5,0.49,0.51,0.51,0.5,0.48,0.5,0.51,0.5,0.5,0.51,0.5,0.49,0.49,0.51,0.5,0.5,0.49,0.5,0.5,0.5,0.52,0.48,0.52,0.5,0.51,0.5,0.48,0.51,0.51,0.5,0.49,0.5,0.51,0.52,0.52,0.49,0.49,0.51,0.49,0.52,0.52,0.51,0.5,0.5,0.49,56,-1,56,1
0.52,0.5,0.51,0.49,0.5,0.51,0.48,0.51,0.52,0.52,0.52,0.49,0.48,0.47,0.49,0.52,0.48,0.48,0.5,0.48,0.52,0.49,0.47,0.51,0.5,0.52,0.51,0.51,0.51,0.5,0.53,0.48,0.47,0.53,0.5,0.48,0.52,0.49,0.5,0.51,0.47,0.51,0.48,0.5,0.52,0.51,0.48,0.49,0.52,0.51,0.49,0.5,0.52,0.48,0.5,0.49,0.52,0.51,0.5,0.47,0.51,0.51,0.5,0.5,0.51,0.49,0.49,0.49,0.51,0.51,0.5,0.48,0.51,0.51,0.49,0.53,0.47,0.53,0.49,0.52,0.5,0.47,0.52,0.51,0.5,0.48,0.51,0.52,0.53,0.52,0.49,0.48,0.52,0.48,0.52,0.52,0.51,0.5,0.5,0.49,58,-1,58,0
0.51,0.5,0.51,0.49,0.5,0.51,0.48,0.51,0.52,0.52,0.52,0.49,0.49,0.47,0.49,0.52,0.48,0.49,0.49,0.48,0.51,0.49,0.48,0.5,0.5,0.51,0.51,0.5,0.51,0.51,0.53,0.48,0.48,0.52,0.49,0.49,0.52,0.49,0.49,0.51,0.48,0.51,0.49,0.51,0.51,0.5,0.48,0.49,0.52,0.51,0.5,0.5,0.52,0.49,0.51,0.5,0.52,0.51,0.5,0.48,0.5,0.5,0.51,0.49,0.5,0.49,0.5,0.5,0.51,0.5,0.49,0.48,0.51,0.51,0.5,0.52,0.48,0.53,0.49,0.52,0.5,0.48,0.51,0.5,0.49,0.49,0.5,0.52,0.53,0.52,0.5,0.49,0.51,0.49,0.51,0.52,0.51,0.51,0.51,0.49,58,-1,58,0
0.5,0.49,0.51,0.48,0.5,0.51,0.48,0.52,0.53,0.52,0.52,0.48,0.49,0.45999999999999996,0.48,0.52,0.48,0.5,0.49,0.47,0.5,0.48,0.49,0.49,0.5,0.5,0.51,0.49,0.51,0.52,0.54,0.47,0.48,0.51,0.49,0.5,0.53,0.48,0.49,0.51,0.48,0.51,0.5,0.51,0.5,0.5,0.47,0.49,0.53,0.51,0.5,0.49,0.52,0.49,0.52,0.51,0.53,0.52,0.5,0.48,0.49,0.5,0.52,0.48,0.5,0.49,0.51,0.5,0.52,0.49,0.48,0.47,0.51,0.51,0.51,0.52,0.49,0.54,0.49,0.53,0.5,0.49,0.5,0.5,0.49,0.5,0.49,0.52,0.53,0.52,0.5,0.5,0.5,0.49,0.5,0.53,0.52,0.51,0.52,0.49,58,-1,58,0
0.49,0.48,0.51,0.47,0.5,0.51,0.48,0.53,0.54,0.52,0.52,0.47,0.49,0.44999999999999996,0.47,0.52,0.48,0.51,0.49,0.45999999999999996,0.49,0.47,0.5,0.48,0.5,0.49,0.51,0.48,0.51,0.53,0.55,0.45999999999999996,0.48,0.5,0.49,0.51,0.54,0.47,0.49,0.51,0.48,0.51,0.51,0.51,0.49,0.5,0.45999999999999996,0.49,0.54,0.51,0.5,0.48,0.52,0.49,0.53,0.52,0.54,0.53,0.5,0.48,0.48,0.5,0.53,0.47,0.5,0.49,0.52,0.5,0.53,0.48,0.47,0.45999999999999996,0.51,0.51,0.52,0.52,0.5,0.55,0.49,0.54,0.5,0.5,0.49,0.5,0.49,0.51,0.48,0.52,0.53,0.52,0.5,0.51,0.49,0.49,0.49,0.54,0.53,0.51,0.53,0.49,58,-1,58,0
0.48,0.47,0.51,0.45999999999999996,0.5,0.51,0.48,0.54,0.55,0.52,0.52,0.45999999999999996,0.49,0.43999999999999995,0.45999999999999996,0.52,0.48,0.52,0.49,0.44999999999999996,0.48,0.45999999999999996,0.51,0.47,0.5,0.48,0.51,0.47,0.51,0.54,0.56,0.44999999999999996,0.48,0.49,0.49,0.52,0.55,0.45999999999999996,0.49,0.51,0.48,0.51,0.52,0.51,0.48,0.5,0.44999999999999996,0.49,0.55,0.51,0.5,0.47,0.52,0.49,0.54,0.53,0.55,0.54,0.5,0.48,0.47,0.5,0.54,0.45999999999999996,0.5,0.49,0.53,0.5,0.54,0.47,0.45999999999999996,0.44999999999999996,0.51,0.51,0.53,0.52,0.51,0.56,0.49,0.55,0.5,0.51,0.48,0.5,0.49,0.52,0.47,0.52,0.53,0.52,0.5,0.52,0.48,0.49,0.48,0.55,0.54,0.51,0.54,0.49,58,-1,58,0
0.47,0.45999999999999996,0.51,0.44999999999999996,0.5,0.51,0.48,0.55,0.56,0.52,0.52,0.44999999999999996,0.49,0.42999999999999994,0.44999999999999996,0.52,0.48,0.53,0.49,0.43999999999999995,0.47,0.44999999999999996,0.52,0.45999999999999996,0.5,0.47,0.51,0.45999999999999996,0.51,0.55,0.5700000000000001,0.43999999999999995,0.48,0.48,0.49,0.53,0.56,0.44999999999999996,0.49,0.51,0.48,0.51,0.53,0.51,0.47,0.5,0.43999999999999995,0.49,0.56,0.51,0.5,0.45999999999999996,0.52,0.49,0.55,0.54,0.56,0.55,0.5,0.48,0.45999999999999996,0.5,0.55,0.44999999999999996,0.5,0.49,0.54,0.5,0.55,0.45999999999999996,0.44999999999999996,0.43999999999999995,0.51,0.51,0.54,0.52,0.52,0.5700000000000001,0.49,0.56,0.5,0.52,0.47,0.5,0.49,0.53,0.45999999999999996,0.52,0.53,0.52,0.5,0.53,0.47,0.49,0.47,0.56,0.55,0.51,0.55,0.49,58,-1,58,0
0.45999999999999996,0.44999999999999996,0.51,0.43999999999999995,0.5,0.51,0.48,0.56,0.5700000000000001,0.52,0.52,0.43999999999999995,0.49,0.41999999999999993,0.43999999999999995,0.52,0.48,0.54,0.49,0.42999999999999994,0.45999999999999996,0.43999999999999995,0.53,0.44999999999999996,0.5,0.45999999999999996,0.51,0.44999999999999996,0.51,0.56,0.5800000000000001,0.42999999999999994,0.48,0.47,0.49,0.54,0.5700000000000001,0.43999999999999995,0.49,0.51,0.48,0.51,0.54,0.51,0.45999999999999996,0.5,0.42999999999999994,0.49,0.5700000000000001,0.51,0.5,0.44999999999999996,0.52,0.49,0.56,0.55,0.5700000000000001,0.56,0.5,0.48,0.44999999999999996,0.5,0.56,0.43999999999999995,0.5,0.49,0.55,0.5,0.56,0.44999999999999996,0.43999999999999995,0.42999999999999994,0.51,0.51,0.55,0.52,0.53,0.5800000000000001,0.49,0.5700000000000001,0.5,0.53,0.45999999999999996,0.5,0.49,0.54,0.44999999999999996,0.52,0.53,0.52,0.5,0.54,0.45999999999999996,0.49,0.45999999999999996,0.5700000000000001,0.56,0.51,0.56,0.49,59,-1,59,3
